sensor_1_Bx,sensor_1_By,sensor_1_Bz,sensor_2_Bx,sensor_2_By,sensor_2_Bz,sensor_3_Bx,sensor_3_By,sensor_3_Bz,sensor_4_Bx,sensor_4_By,sensor_4_Bz,sensor_5_Bx,sensor_5_By,sensor_5_Bz,sensor_6_Bx,sensor_6_By,sensor_6_Bz,sensor_7_Bx,sensor_7_By,sensor_7_Bz,sensor_8_Bx,sensor_8_By,sensor_8_Bz,magnet_x,magnet_y,magnet_z,theta,phi
6.593333350287544,-20.309999084472658,-123.387734858195,7.823334164089626,-9.700000254313151,-108.99142351282968,10.41666620042589,-12.436666446261938,-128.17933423784044,9.42666703859965,-20.18000310262044,-149.5559992207421,4.920000221994188,-15.4000003390842,-95.27808748881024,6.6133333630032,-13.773333574665918,-83.54915835062663,6.5700002908706665,-14.083334181043838,-103.99008683098688,4.550000466240778,-10.903334130181207,-83.29101842244467,-1.5,-7.5,0.0,0.0,0.0
2.843333350287544,-10.559999084472658,-57.80573412577312,3.173334545559353,-7.7499994913737,-50.91142168177499,4.116666963365343,-8.536668735080298,-58.72533185746934,4.326666895548502,-11.030001576741531,-67.27600044144525,0.7200000551011829,-11.050000434451633,-47.120090357462566,2.7133337444729264,-9.42333367003335,-40.95715548197428,2.370000004768372,-9.283334943983292,-48.81408814324273,1.849999703301325,-8.05333374871148,-40.69902318318685,-1.5,-9.5,0.0,0.0,0.0
-8.55666626824273,-77.90999755859374,-393.2177366892497,25.52333453959889,-61.000003306070965,-455.7774266256226,15.666667154100208,-87.13667102389866,-531.5933128145006,-8.573334153493246,-108.53000157674154,-558.294005812539,-7.530000183317396,-47.35000014834934,-263.4680746714274,5.563333172268337,-42.42333414687051,-243.51115633646648,7.470000386238098,-60.733335706922745,-360.9940770043267,13.399998940361872,-43.30333565606011,-295.04101079305013,-2.5,-4.5,0.0,0.0,0.0
3.293333159552681,-11.309999084472658,-52.72373339335124,3.0233330196804467,-7.900001017252606,-48.97542085780038,4.116666963365343,-8.386667209201391,-56.063333108690045,2.6766668001810707,-10.730002339680986,-63.887999953164,0.1199999120500354,-9.700000529819064,-43.24808870951335,1.6633335537380631,-10.32333376540078,-38.29515482584635,1.920000076293945,-10.033334943983292,-46.394089974297415,0.6500008477105048,-8.203333367241754,-38.52102177937826,-2.5,-9.5,0.0,0.0,0.0
2.6933337317572708,-29.460000610351564,-159.929727045695,8.873333401150173,-20.65000101725261,-159.0854252828492,9.816667726304797,-25.93666644626194,-183.59732587602403,5.226666990915934,-34.72999852498372,-204.73199409378896,0.2700000074174671,-21.40000129275852,-118.99409090677898,4.963333744472926,-19.173334146870506,-105.3291571299235,4.620000004768372,-22.18333265516493,-141.50008896721735,5.749999321831599,-17.5033326043023,-114.50902837117512,-2.5,-6.5,0.0,0.0,0.0
33.293335066901314,-44.46000061035157,-392.9757322947184,18.77333445019192,-6.2499994913737,-256.8534153951539,32.01666777398852,-15.286668735080298,-354.2073264863756,42.27667004267374,-41.47999852498372,-470.93200630082026,20.37000134256151,-32.950000529819064,-291.78210055033367,18.913333970970577,-19.32333376540078,-222.69915987650555,23.820000767707825,-20.233335706922745,-289.3620884789361,13.550000466240778,-10.903334130181207,-199.935023244222,0.5,-5.5,0.0,0.0,0.0
62.84333716498481,-99.96000061035156,-756.7017454783122,30.323334640926785,-9.9999994913737,-446.0974339498414,61.86666887071398,-32.68666644626194,-665.4193015840318,86.97666699091593,-98.18001073201498,-945.0100092305078,32.52000096109178,-65.50000167422824,-521.682094446818,32.71333469814724,-34.17333414687051,-380.2411520640055,42.72000229358673,-38.38333341810439,-521.6820958031549,23.75000122918023,-15.10333489312066,-340.53701299031576,0.5,-4.5,0.0,0.0,0.0
4.193333731757271,-9.960000610351564,-62.40373369852702,3.3233341640896263,-5.650001017252606,-51.39542284144296,3.96666734483507,-6.136667209201391,-60.903333261277936,4.026666704813639,-8.630000050862627,-70.6640009297265,1.9200001027848987,-9.4000003390842,-49.7820852915446,2.413333553738063,-7.473333383931054,-42.89315630594889,2.8200000524520874,-8.533333036634659,-52.44408921135796,1.4000008477105048,-5.503332604302301,-41.667021687825525,-0.5,-9.5,0.0,0.0,0.0
4.493333922492134,-6.960000610351564,-62.40373369852702,2.2733330196804467,-4.150001017252606,-45.82942094935312,4.41666620042589,-4.3366679721408445,-55.82133252885606,5.226666990915934,-6.380000050862627,-67.27600044144525,3.5700001981523304,-7.000000243716769,-52.92808901468913,4.063333172268337,-6.573333765400781,-43.3771536509196,3.2700001001358032,-6.133333418104385,-50.26608780754937,0.9500000847710516,-4.303333748711481,-37.79502385457357,1.5,-9.5,0.0,0.0,0.0
6.743333922492134,-7.859998321533203,-82.24773546854655,2.7233337826199,-3.700000254313153,-57.20342149866952,5.316665818956164,-2.8366679721408445,-71.3093314912584,8.376666996876398,-5.33000081380208,-89.05599922074212,5.370000269677904,-6.850000148349338,-72.53008639017742,5.563333172268337,-5.673333670033349,-57.89715410868327,4.3200002908706665,-5.833334181043838,-65.512090004815,1.5500004662407785,-3.703333367241754,-48.44301884969076,2.5,-8.5,0.0,0.0,0.0
